County,Costs with Mortgage,Cost without Mortgage,Average Mortgage Cost,Average Rent Cost,Rent vs. Mortgage
"Brunswick County, North Carolina",1434,553,881,1303,422
"Buncombe County, North Carolina",1535,454,1081,1260,179
"Burke County, North Carolina",1232,356,876,695,-181
"Cabarrus County, North Carolina",1684,456,1228,1249,21
"Caldwell County, North Carolina",1067,324,743,688,-55
"Carteret County, North Carolina",1548,470,1078,1000,-78
"Catawba County, North Carolina",1175,363,812,869,57
"Chatham County, North Carolina",1728,545,1183,1047,-136
"Cleveland County, North Carolina",1227,384,843,815,-28
"Craven County, North Carolina",1276,491,785,1029,244
"Cumberland County, North Carolina",1336,462,874,1133,259
"Davidson County, North Carolina",1205,383,822,857,35
"Durham County, North Carolina",1544,538,1006,1385,379
"Forsyth County, North Carolina",1322,448,874,1026,152
"Franklin County, North Carolina",1393,470,923,950,27
"Gaston County, North Carolina",1410,408,1002,1060,58
"Guilford County, North Carolina",1342,473,869,1096,227
"Harnett County, North Carolina",1395,432,963,897,-66
"Henderson County, North Carolina",1388,414,974,999,25
"Iredell County, North Carolina",1530,377,1153,1058,-95
"Johnston County, North Carolina",1512,409,1103,1045,-58
"Lee County, North Carolina",1244,433,811,917,106
"Lincoln County, North Carolina",1415,397,1018,973,-45
"Mecklenburg County, North Carolina",1719,567,1152,1473,321
"Moore County, North Carolina",1554,449,1105,1299,194
"Nash County, North Carolina",1245,418,827,874,47
"New Hanover County, North Carolina",1584,585,999,1341,342
"Onslow County, North Carolina",1293,465,828,1087,259
"Orange County, North Carolina",1928,622,1306,1441,135
"Pender County, North Carolina",1608,511,1097,1037,-60
"Pitt County, North Carolina",1402,505,897,906,9
"Randolph County, North Carolina",1139,349,790,805,15
"Robeson County, North Carolina",1054,393,661,725,64
"Rockingham County, North Carolina",1048,337,711,742,31
"Rowan County, North Carolina",1106,368,738,937,199
"Surry County, North Carolina",1131,364,767,680,-87
"Union County, North Carolina",1684,504,1180,1518,338
"Wake County, North Carolina",1898,584,1314,1460,146
"Wayne County, North Carolina",1206,411,795,930,135
"Wilkes County, North Carolina",953,310,643,651,8
"Wilson County, North Carolina",1301,454,847,900,53
"Burleigh County, North Dakota",1815,601,1214,880,-334
"Cass County, North Dakota",1765,589,1176,878,-298
"Grand Forks County, North Dakota",1575,602,973,864,-109
"Ward County, North Dakota",1679,588,1091,926,-165
"Allen County, Ohio",1209,479,730,893,163
"Ashtabula County, Ohio",1117,445,672,804,132
"Belmont County, Ohio",1199,440,759,773,14
"Butler County, Ohio",1537,567,970,979,9
"Clark County, Ohio",1092,486,606,856,250
"Clermont County, Ohio",1465,586,879,1017,138
"Columbiana County, Ohio",1077,416,661,686,25
"Cuyahoga County, Ohio",1442,636,806,976,170
